Customer Review,Sentiment,Emotion
barang kw jangan beli disini,0,2
buruk,0,2
barang bosok sekali pake rusak mau claim dijawab berbelit ama adminnya,0,2
chat tidak di balas kuota yang di janjikan 50gb nya tidak masuk hancur la parah parah,0,2
ga dikasih adaptor gepeng nya ketipu saya,0,2
jir sehari pake udah rusak  quality control dong yg bener ahelah,0,2
ini gmn ssd nya gak bisa di pake sy minta ganti,0,2
beli mahal2 malah sering tiba2 ngeblur kalau dipakai zoom terus menghubungi cs nya suruh klaim garansi aja minta alamat ga dikasih2 hadeuhh webcam 1 jutaan kualitas sampah,0,2
tidak sesuai gambar janggan percaya ama seller ini penipu kualitas jelek,0,2
tolong pengiriman punya rasa tanggung jawab ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah,0,2
l2 r2 trigger nya ampas macam ,0,2
jelek,0,2
barang sampah ini tidak seharusnya dikirimkan ke alamat saya akan tetapi di tong sampah sangat mengecewakan admin tidak merespon sama sekali chat saya lihat barang yg dikirimkan ada dead pixel lalu layar monitornya kebalik sangat mengecewakan catatan buat temanteman yg ingin beli monitor ini tidak ada audiospeakernya kualitas layar juga kurang baik jika ada rejeki lebih belilah dengan merek yg bagus saya sangat menyesal belanja di sini saya tidak merekomendasikan belanja disini,0,2
tidak jujur dan kelihatan kalau memaksakan barang terjual barang dikirim tidak sesuai pesanan dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak dengan resiko barang yg di foto ditawarkan memang sebenarnya mungkin tidak ada,0,2
beli tgl 9 pesanan selesai tgl 12 danmouse rusak tgl 13 gak bisa komplain dari toped lagi admin ditanyain gmna cara klaim garansi sangat tidak membantu chat hari ini bales besokda dibales gk di jawab2 lagi,0,2
gua beli dapetnya v2 di desc gada penjelasan mengenai versi bagusan v1 apalagi rgbnya rgb v2 bener bener cuma red green blue sisa warnanya gaguna switch puller gadapet rgb redup pula ngga ada pemberitahuan mengenai versi keyboardnya bener2 kecewa kapok beli da ambil ae vrtx v7 tuh bagus drpd ini kecewa mau gua jual lagi pokoknya,0,2
belanja dari official store kondisi barang diterima seperti sampah dan barang rongsokan terima kasih,0,2
ngaco banget pesen mouse tapi gak lengkap gak ada penutup batre sama bluetoothnya,0,2
barang emang harga aslinya sekitar 55 an tapi seller sok sok an bikin diskon yg dari 99rb di diskon 59rbolshop emang keras,0,2
salah beli gabisa dituker pas di coba ternyata gabisa pas ditanya ini klaim garansi gimana yang bales malah bot tai,0,2
sangat tidak puas baik produknya dan pelayanannya barang cacat pada kondisi tertutup saya mejanya tidak bisa menutup rapat itu dikarenakan pemasangan engselnya tidak sejajar 1 tinggi 1 pendek ini yg menyebabkan listnya sobek krn dipaksa saat menutup daun mejanya jadi fix nya ini cacat pabrik bukan masalah pengiriman dan ternyata komplain ga diterima oleh toko penjual suruh hubungi sendiri ke kurirnya,0,2
quality barang jelek baut lepas terus,0,2
banyakk rusakk dan lecet nyaaaa ,0,2
barang pesan 2 yang dateng 1 bayar harga 2 yg dateng 1 makasih  ga ush dibuktikan cek aja pengeluaran barang nya baru cek pembeli jgn pembeli yang ditanya2 unboxing ga terlalu penting abis2in quota,0,2
keyboard tdk nyala sama sekali padahal baterai baru dicoba beberapa kali tdk bisa memang lebih murah dari toko lain barang tdk bisa sama saja bohong,0,2
barang rusak di kirim,0,2
gak bener nih harusnya yang dateng tuh meja utuh malah baut2 gak terpasang dan baut2nya kecil banget mau dilem  ngaco nih  ,0,2
driver ngaco bukan tokonya barang ok itu smart namanya bengak gua kasih puas komen jg lu bintang satunya buat driver ,0,2
kecewa lahgk ada penyelesaiandi chat kg di bls di wa kg di bls lari gitu aj sampah,0,2
barang dikirim salah pesan webcam logitech di logitech official kok bs dikirimmya headphone jbl dan penukaran barang butuh 4hari kerja sungguh lama,0,2
bagus banget keyboardnya packing sangat aman karena double kardus warna juga keren,1,3
aaaa bagus banget pengirimannya cepatt dan aman juga packaging nya bisa nyala juga tdi udh dicoba beli dgn harga rp0 senengggbangett,1,3
terima kasihh boss mantappss smoga lancarr n berkah rezekinyasmngttt boss ,1,3
barangnya buwaguusss sesuai pesanan angin nya kencang seperti angin puting beliung laptop ademmmm benerrr,1,3
mantap bgt kualitas beneran sama kaya webcam sejutaan,1,3
sampai dengan selamat mulus dan berfungsi sempurna seller mau sabar dikonsultasikan dan mengemas dengan aman recommended,1,3
proses pesanan dan pengiriman barang cukup cepat produk sesuai deskripsi seller responsif sukses dan tetap jaga protokol kesehatan ya seller terima kasih,1,3
penjual ramah barangnya bagus sesuai dgn pesanan packing rapi padahal cmn pesan 1 ,1,3
selamat siang bos pesanan sudah saya terima belum di pasang  di coba packing sangat rapi dan aman product mantap pokoknya top markotop pelayanan sangat oke toko sangat recomended sekali makasih banyak atas semuanya salam sukses sehat dan sejahtera selalu aamiin,1,3
recommended seller,1,3
top bgt,1,3
asli samsung pelayanan sangat baik,1,3
mantap laptop jd adem ga cpt panas ,1,3
memory sdh sy pasang ada 4 keping 8 gb ddr3 semua berfungsi dg baik pengiriman lumayan cepat recommended seller ,1,3
waw murah bangetttt packingnya rapih produknya bagus keren mantap sangat uhuuy pisan deh pokoknya hehehehehe,1,3
mantab respon cepat pesanan tidak mengecewakan rekomended buat belanja spare part terima kasih atas kerja samanya,1,3
recommended fast print fast response,1,3
gilapengiriman cepet bangetdr surabaya ke bogorfast respontbarang oksesuai bangetpacking rapirecomended seller euyma kasih ganthanks toped,1,3
barangnya sudah sampai cepet banget recommended lah tengkyuuu,1,3
recommended seller respon cepat pengiriman cukup cepat,1,3
earcupnya lembut best value headset sound mantap nyaman dan praktis tinggal plug and play mantaaaap laaah buat gamer,1,3
respon cepat barang original terbaik recomended packing baik sukses selalu ya,1,3
kualitas suara ok banget apalagi dengan harga yang terjangkau barang pun dijamin ori karena sudah terdaftar di website razer langsung pokoknya bagus lah bassnya juga kerasa,1,3
1010 kualitas produk sangat baik dengan harga yang tertera nyaman dipakai suara keras dan 71 berfungsi dengan baik definitely would recommend this,1,3
mantaaap tanggap banget fast respon juossssssss,1,3
barangnya bagus bangett dengan harga yang affordable dengan kualitas yang lumayan gokil sihh,1,3
mantappppp recommended keyboard ma mousenya ,1,3
mantab minnn pengiriman jam 5 sore masih di gasss ,1,3
mantap banget kualitasnya gak usah diragukan lagi,1,3
cakep produk nya rekomen banget nih sesuai deskripsi,1,3
packing rapih fast response dan rgbnya juga bagus sangat di rekomendasikan 1010,1,3
as always gapernah gagal belanja sini thanks ggs,1,3
cakep bet dah mau duduk aja di kursi ini sampe ga mau berdiri lagi rasanya,1,3
overall memuaskan layar bagus walau menurut saya ipsnya ga sebagus ips tv warna sudah bagus ga oversaturated brightness sangat terang buat di pakai dalam gelap tetap silau biar brightness udah 0 layar bisa di putar cm di kaki saja gampang kedorong refresh rate terbukti cepat buat fps sudah mantab kalau asa softwarenya mungkin lebih bagus lagi jd setting ga perlu lewat tombol di belakang dpt kabel display port desain keren hampir bezelless nice,1,3
love it product bagus worth it thank you,1,3
airo ini punya customer service yang super duper bagus kapanpun saya punya pertanyaan mereka selalu jawab dengan okey produknya pun bagus puas banget love airo,1,3
barangnya mantap berkualitas kokoh bergaransi seller ramah pokoknya mantap banget,1,3
layanan sangat memuaskan seller rekomended,1,3
luar biasa packing di jamin aman pakai bubblewrap cepet banget prosesnya senin malam cekout paginya kirim hari ini rabu sore sampai sangat cepat sangat puas terimakasih sukses selalu yah tech cube,1,3
mantap sekali sangat recommended respon seller bintang 5 baru pesan tadi malam hari ini langsung datang,1,3
bahan dari plastik dan tidak kuat juga buat menopang laptopini sih kuatnya buat tablet gaisss lebih baik jangan beli yang ini,0,4
barang ga pernah sampe katanya dikirim nyusul tapi ditanya no resi ga dikasih2,0,4
gak bisa di gunakan ini gimana,0,4
saran aja buat temen temen yang beli disini  jangan buang box nya simpan terus biar kalo baru beli terus rusak bisa di claim garansinya,0,4
packaging gk aman bgt bubble wrap tipis alhasil kemasan barang agak penyok pas dateng thank god barangnya aman ini official store seharusnya lebih baik lagi fix min next duh,0,4
biarkan gambar bercerita pesan 20 bh yg rusak 10 bh jgn percaya balasan pembelaan apapun dari seller tidak amanah alasan rusak expedisi padahal bisa dilihat sebagian letak cacat 100  bukan dari expedisi dan sebagian yg lain kalaupun dari expedisi ceroboh itu karena packingan tanpa kardus per satuannya dan bubble juga tipis sekali lewat seadanya tanpa tempelan fragile padahal sudah pesan bubble dan kardus tambahan seller berusaha dilimpahkan biar diganti asuransi untung sudah diviseo unboxing dan ditolak jg dr expedisi saya tidak pernah cerita panjang lebar di ulasan tapi berhubung demi kenyamanan buyer lain utk jadi pertimbangan bacalah ini waspadalah waspadalah tidak ada itikad baik berusaha lepas tangan bahaya bisa rusak tokopedia kalau banyak seller begini sudah dikasih note sewaktu proses dan sudah juga dichat dulu sebelum kirim utk hati hati karena mau utk dijual lagi sudah ajukan resolusi pengambalian dana ke tokopedia tp dialihkan ke asuransi utk akhirnya tetap tokopeda refund dana trims admin,0,4
seharusnya chat dijadikan makesure barang warna dll jgn kaku kaku bgt jadi roko,0,4
barang diterima dalam kondisi rusak juga di alami beberapa pembeli lain complain di reject oleh seller tapi tokopedia menengahi dan bisa retur tapi sayangnya saya dalam situasi tidak mudah mengirim barang jadi apa boleh buat sangat tidak recommend beli di toko yang cenderung tidak amanah,0,4
ampun dah ini packing terasal yg pernah gua terima ini klu patah gimana awas aja isinya rusak pas gua pake ya,0,4
produk ini chip di dalamnya didaur ulang dan dipasang kembali setelah menggiling katakata aslinya pembeli harap perhatikan temanteman tolong beri perhatian khusus,0,4
ini toko korupga sesuai sama isinyanot recommended,0,4
isi paket via link aja yg di rekomendasikan aja selalu gagalvia ovomandiri sampe bca aja selalu gagalga siap system nya jangan jualan,0,4
nope kalau kepikiran mau beli saran saya jangan product sering rto gajelas cs after sales service yg buruk dijamin pengalaman kalian akan kecewa,0,4
pelayanan buruk pengiriman lama dan respon yang lama jangan beli barang disini kalo ga mau kecewa cukup sekali ini aja,0,4
sama sekali gk bisa dpake asli nyesel,0,4
produk yg dikirim awal tidak dapat berfungsi dengan semestinya meskipun sdh dikirimkan lg produk lainnya selain itu seller sangat tidak layak menjadi official store pengiriman barang tidak sesuai dengan jadwal yang dijanjikan di deskripsisistem tokped selain itu sangat slow response seller ini not recommended,0,4
respon cellernya setengah mati nungguinnnnpengiriman nunggu berhari hari padahal pake pengiriman instan dah bayar ongkir mahal celler sama pembeli tinggla di jakarta utara g arekomen buat pembeli lagi cari yang laindari pada emosi nungguin,0,4
parah prosesnya lama banget semoga ini bisa jadi pelajaram buat team logitech,0,4
harga sih promo 17900 sy pake gojek instant lebih mahal ongkirnya drpd barangnya krn mau dipake cepet pas nyampe eh ternyata udah patah sebelah standnya kecewa sih karna kalo jual promo ada cacat ya di catet gitu biar customer ga beli barang promo kalo tau ada cacatnya seller si oke buat tuker barang tp udh ga efektif aja sy mau pake cepet jg jd ga bisa di retur jg ongkir lebih mahal lagi dari kualitas barangnya  mengecewakan deh pokonya kapok beli disini,0,4
hati2 ternyata di foto display adalah varian yg ada bonus harga berbeda,0,4
estimasi proses pesanan 23 hari bung ini online platform kalo ga siap cepet menuhin customer secara online jualan offline aja customer beli online buat dipake segera dan kalau ada delayproses apalah itu ditulis di deskripsi produk ini customer nanya dulu baru diinfo proses pemesanan 23 hari itu juga ga ada efeknya ke kemasan cuma dibungkus bubble wrap tipissss ga kebayang kalo customer ada yg apes barangnya dilempar2 jadi ancur isinya dan jangan pernah janjiin ke customer barang akan dipickupantar saat weekend karena kalian aja libur sabtuminggu,0,4
pesan tanggal 2 maret jam 9 pakai pengiriman instant sampai nya tanggal 3 maret padahal sudah bayar mahal dikirimnya keesokan harinya bukan salah pengantarnya driver gosend nya sudah mengantarkan paket dengan baik tapi durasi proses dari toko sangat lama padahal butuhnya tanggal 2 maret makanya saya pilih pengiriman instant saya juga sudah tanya pihak toko jika paket bisa dikirim hari itu juga atau tidak jawabannya bisa tapi kenyataannya paket saya tidak dikirim pada hari itu juga kalau tidak bisa dikirim hari itu juga ya bilang saya juga sudah ajukan cancel pesanan juga tidak ada respon dari penjual pelayanan sangat sangat buruk tidak recommended semoga lebih baik lagi kedepannya,0,4
barang ternyata palsu,0,4
ga jelas info bohong yang bikin pengalaman tidak menyenangkan kalo mau beli produk dbe cari toko laen yang ini tipu tipu headphone dateng dengan keadaan bikin kuping sakit,0,4
rgb mati dari awal datang  penjual gak respon barang gak lulus qc sepertinya yg dijual hati hati kalau beli ,0,4
hati2 belanja disini dapet unit cacat dblg suruh ajukan komplain nti mau dituker trnyta tokonya sndiri yg blg gabs dituker official store abal2 ini mah ga jelas solusinya gmn,0,4
pelayanan toko sangat buruk saya order laptop disini dan setelah barangnya sampai laptop nya ga mau nyala habis itu saya berusaha minta solusi dari seller awalnya seller masih mau respon seadanya  tidak menawarkan solusi dan sangat lamban lalu karena mikir respondnya lama banget terpaksa saya ajukan komplain  tapi setelah di komplain seller ga pernah jawab diskusi ataupun respon kendalanya saya dicuekin selama 8 hari sampai jangka waktu habis dan dana di refund kalau ada yg baca ulasan saya saya anjurkan utk order di toko lain jangan tergoda sama tittle official store nyata nya pelayanan toko ga lebih baik dari merchant biasa harga juga ga lebih murah,0,4
pengiriman laptop dr toko tidak dicek dahulu laptop yg dikasih ke pembeli layar pecah kerdus rusak padahal packingan tidak ada yg rusak menghabiskan waktu saja buat klaim ke tokpedia berminggu minggu baru berhasil klaim ke pihak asuransi ternyata toko yg sudah verified tidak menjamin pelayanan toko ini buruk respon cepat saat awal beli aja saat dikomplen sangat lama mengulur2 waktu tidak mau tanggung jawab padahal jelas komplainan langsung dihari berikutny setelah paket dibuka yg seharusny bisa langsung tuker unit langsung dr toko trus apa gunany ditulis di deskripsi garansi toko 3 hari  cukup terakhir beli disini thanks,0,4
jangan mau beli di sini cek review penjualan nya banyak yg rusak di kirim saya korban juga cek foto barang yang saya order supaya yang lain tidak jadi korban kacau toko ini menjual barang rusak,0,4
meja laptopnya begitu dibuka kardusnya sudah pecah diujungnya dan ada retak juga dibagian bawah trus mejanya juga hijau kusam seperti barang bekas pakai seller dikomplain menolak penukaran barang dengan alasan buktinya kurang malah diarahkan utk menggunakan asuransi dr tokopedia dgn proses yg ribet harus ada bukti pemusnahan barang jg pas sy lihat lagi ulasan2 ternyata banyak juga yg dapet mejanya pecah dan rusak dan mereka semua pada kecewa saran kalau jualan yg jujur kl memang yg dijual barang bekas atau ex display bilang saja tulis di deskripsi yg jujur tolong tokopedia lebih selektif terhadap toko yg seperti ini packing barang juga terkesan asal2an cuma pakai kardus tipis saja ga pakai bubble wrap sama sekali semoga ga ada lagi customer yg tertipu seperti saya,0,4
tolong di cek sebelum dikirim ya khususnya sd,0,4
barang baru datang pertma saya coba di samsung a52 bisa terbacabaru saya pasang di cctv ternyta ga bisapenasran saya coba di samsung m30 juga ga bisapensran lagi saya coba di oppo a15 ternyta ga bisa jugamasih pensran saya coba lagi disamsung a52 ternyta dh ga bisaseumur umur baru ini saya kasih bintang 1klaim garansi ternyta ribet jugakapok saya belnja di apliksi ini maupun toko inimasih enkn tko seblahkomplain kepenjual disurh komplain ke topedkomplain toped disurh komplain dulu gimna baiknuy sama penjualhadehpok kapok saya,0,4
sebelum mempercayakan penyimpanan data kalian  mending pikir dulu deh  saya baru pakai blm 2 minggu  kartu langsung tidak terbaca lagi  mana ada data yg tidak bsa di selamatkan  dan proses garansinya aja pake estimasi sebulan  yap sebulan  mending beli yg pasti aja  merk baru blum tentu terjamin kualitasnya  be carefull and keep healthy  thx,0,4
sangat kecewa sekali produk kakinya goyang tidak rata oglek2 hati2 jika membeli warna putih karena tidak sesuai difoto produk barang yg sampai warna coklat tapi penjual ngotot meja yg diterima saya itu warna putih sesuai foto dan tidak mau menerima komplain saya lihat review beberapa pembeli lainnya juga mengalami hal yg sama seperti saya dikirimkan warna berbeda dari yang dipesan walaupun saya sudah bertanya dulu di msg memastikan sebelum membeli dan menulis pesan sewaktu order percuma saja,0,4
baru pake 3 hari udh berulah susah hidup kadang hang frezee blank saat lagi on komputer minta di ganti gk di respon trs buat apa embel2 garansi lifetime not recommended,0,4
ramnya gabisa di pakai walau udh minta tuker 2x giliran dimintain refund susah banget jangan mau beli disini pokoknya ga recommend banget hati hatii sama ram palsu,0,4
suara kecil sebelah ini produk bermasalah kaulitas kontrolnya gak rekomen,0,4
laptop rusak pass di aktifkan fan error setelah di perbaiki ternyata keyboardnya rusak setelah ganti keyboardnya ternyata adaptornya rusak jangan belanja disini,0,4
barang sesuai bagus dan cepat sampai,1,0
produk mantapp,1,0
barang sudah sampai barang bagus sesuai dengan deskripsi produk,1,0
ukuran karet sesuai  mantul dan waktu pengiriman lebih cepat dari jadwalnya mantap dah is the best,1,0
pengiriman cepat barang kondisi bagus makasih ya,1,0
barang sesuai pesanan kondisi berfungsi dengan baik seller responsif proses kirim cepat recommended,1,0
barangnya bagus kualitas product bagus harga terjangkau recomended,1,0
brg sampai packing oke cocok bt kado ada bonus dompet koin,1,0
bisa melempar jauh sesuai dengan deskripsi produk selalu ready stock packing rapi ,1,0
barang bagus sesuai harapanpouchnya mantap cukup bagusservice seller ok buangetterima kasih barang sesuai iklan,1,0
pengiriman cepat barang bagus packing rapi terimakasih,1,0
kualitas product bagus material bagus harga terjangkau recomended,1,0
kualitas product bagus material bagus recomended harga terjangkau,1,0
baru juga dipesan langsung di prosespenjual ramah beyblade berputar kencang seperti dan juga harga lebih murah dari toko laen,1,0
kartu nya lengkap harga kompetitif seru bgt game nya,1,0
kartu nya lengkap seru bgt game nya harga kompetitif,1,0
terima kasih pesanan sesuai,1,0
kartu nya lengkap packing baik model terbaru ready stock,1,0
barang sesuai deskripsi pengiriman cepat recommended seller,1,0
barang sangat berkualitas sebanding dg harga kelengkapan banyak sudah dapat tas panduan yg jelas dan buku moderator tebal box kartu juga tebal mantappl,1,0
mantap gan barang mendarat dengan mulus kartu oke pemerannya lengkap juga ada buku panduan ama buku catetan buat moderator makasih gan,1,0
enak kartunya sesuai ekspektasi plastik beneran licin  dan kerasa bakal awet,1,0
barang berfungsi dengan baik packaging aman  packaging aman  barangnya original ,1,0
bagus dan tahan lama banget,1,0
paket sdh diterima dgn baik sesuai pesanan respon dan proses nya cepat packing nya juga rapi dan safety thanks gan ,1,0
barangnya original  packaging aman ,1,0
bagus bangettt dapet promo jadi cuman bayar rp 200 mantap,1,0
barang bagus gak mudah robek bahan plastik,1,0
keren sdh tiba kartu remi nya packaging aman ,1,0
packaging aman  barang berfungsi dengan baik,1,0
barang berfungsi dengan baik packaging aman ,1,0
kualitas barang bagus harga murah,1,0
pengiriman cepat dan packing amandapat harga flashsale,1,0
saya beli 3allhamdulillah barang sampai tujuan dan sangat memuaskan,1,0
sangat amazing cool a f barang cepat sampee luar biasa,1,0
pelayanan terbaik dan barang original,1,0
mantap nih kartu murah bagus kualitas nya gak nyesel,1,0
benerbener sesuai ekspektasi sih auto belajar triumph ,1,0
packing rapi pengiriman cepat seller responsif produk bagus dan ori recommended lah pokoknya,1,0
mantap barang bagus pack juga aman banget bener2 recommended seller deh buat nyari playing card yg keren2 begini,1,0
barangnya datang dalam keadaan tidak bagus,0,1
